data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;BA;156;37;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;130;21;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;105;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;111;13;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;112;13;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;82;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;82;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;82;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;85;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;86;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;90;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;91;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;93;4;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;56;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;62;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;71;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;72;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;62;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;66;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;110;12;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;116;15;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;118;17;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;78;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;81;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;82;5;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;86;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;94;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;95;8;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;2;VA;85;3;;;;;;;;;;;;;;;;;;;;;
